fips,year,state,food_cost,insurance_cost,healthcare_cost,housing_cost,transportation_cost,other_cost,state_tax_rate,pop,fica_tax_rate,federal_income_tax_rate,total_cost
511199999,2014,AR,3035.971767,962,2528.386391,5148,3965.869168,2195.290565,0.025,24583,0.0765,0.0534,20598.23961
511399999,2014,AR,3035.971767,962,2528.386391,5196,3965.869168,2195.290565,0.025,20662,0.0765,0.0534,20653.67481
511599999,2014,AR,3035.971767,962,2528.386391,5280,3965.869168,2195.290565,0.025,61754,0.0765,0.0534,20750.68641
511799999,2014,AR,3035.971767,962,2528.386391,5676,3965.869168,2195.290565,0.025,8715,0.0765,0.0534,21208.02681
511999999,2014,AR,3035.971767,962,2528.386391,7380,3965.869168,2195.290565,0.025,382748,0.0765,0.0534,23175.97641
512199999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,17969,0.0765,0.0534,20404.21641
512399999,2014,AR,3035.971767,962,2528.386391,5676,3965.869168,2195.290565,0.025,28258,0.0765,0.0534,21208.02681
512599999,2014,AR,3035.971767,962,2528.386391,7380,3965.869168,2195.290565,0.025,107118,0.0765,0.0534,23175.97641
512799999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,11233,0.0765,0.0534,20404.21641
512999999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,8195,0.0765,0.0534,20404.21641
513199999,2014,AR,3035.971767,962,2528.386391,5496,3965.869168,2195.290565,0.025,125744,0.0765,0.0534,21000.14481
513399999,2014,AR,3035.971767,962,2528.386391,5340,3965.869168,2195.290565,0.025,17058,0.0765,0.0534,20819.98041
513599999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,17264,0.0765,0.0534,20404.21641
513799999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,12394,0.0765,0.0534,20404.21641
513999999,2014,AR,3035.971767,962,2528.386391,5496,3965.869168,2195.290565,0.025,41639,0.0765,0.0534,21000.14481
514199999,2014,AR,3035.971767,962,2528.386391,5676,3965.869168,2195.290565,0.025,17295,0.0765,0.0534,21208.02681
514399999,2014,AR,3035.971767,962,2528.386391,6396,3965.869168,2195.290565,0.025,203065,0.0765,0.0534,22039.55481
514599999,2014,AR,3035.971767,962,2528.386391,5184,3965.869168,2195.290565,0.025,77076,0.0765,0.0534,20639.81601
514799999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,7260,0.0765,0.0534,20404.21641
514999999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,22185,0.0765,0.0534,20404.21641
600199999,2014,CA,3623.579206,1134,2528.386391,15060,3965.869168,2195.290565,0.02,1510271,0.0765,0.0534,32780.34342
600399999,2014,CA,3623.579206,1134,2528.386391,8100,3965.869168,2195.290565,0.02,1175,0.0765,0.0534,24777.03942
600599999,2014,CA,3623.579206,1134,2528.386391,9300,3965.869168,2195.290565,0.02,38091,0.0765,0.0534,26156.91942
600799999,2014,CA,3623.579206,1134,2528.386391,7752,3965.869168,2195.290565,0.02,220000,0.0765,0.0534,24376.87422
600999999,2014,CA,3623.579206,1134,2528.386391,8832,3965.869168,2195.290565,0.02,45578,0.0765,0.0534,25618.76622
601199999,2014,CA,3623.579206,1134,2528.386391,7200,3965.869168,2195.290565,0.02,21419,0.0765,0.0534,23742.12942
601399999,2014,CA,3623.579206,1134,2528.386391,15060,3965.869168,2195.290565,0.02,1049025,0.0765,0.0534,32780.34342
601599999,2014,CA,3623.579206,1134,2528.386391,7716,3965.869168,2195.290565,0.02,28610,0.0765,0.0534,24335.47782
601799999,2014,CA,3623.579206,1134,2528.386391,10248,3965.869168,2195.290565,0.02,181058,0.0765,0.0534,27247.02462
601999999,2014,CA,3623.579206,1134,2528.386391,7860,3965.869168,2195.290565,0.02,930450,0.0765,0.0534,24501.06342
602199999,2014,CA,3623.579206,1134,2528.386391,7308,3965.869168,2195.290565,0.02,28122,0.0765,0.0534,23866.31862
602399999,2014,CA,3623.579206,1134,2528.386391,8772,3965.869168,2195.290565,0.02,134623,0.0765,0.0534,25549.77222
602599999,2014,CA,3623.579206,1134,2528.386391,7512,3965.869168,2195.290565,0.02,174528,0.0765,0.0534,24100.89822
602799999,2014,CA,3623.579206,1134,2528.386391,9708,3965.869168,2195.290565,0.02,18546,0.0765,0.0534,26626.07862
602999999,2014,CA,3623.579206,1134,2528.386391,7476,3965.869168,2195.290565,0.02,839631,0.0765,0.0534,24059.50182
603199999,2014,CA,3623.579206,1134,2528.386391,7884,3965.869168,2195.290565,0.02,152982,0.0765,0.0534,24528.66102
603399999,2014,CA,3623.579206,1134,2528.386391,7776,3965.869168,2195.290565,0.02,64665,0.0765,0.0534,24404.47182
603599999,2014,CA,3623.579206,1134,2528.386391,8376,3965.869168,2195.290565,0.02,34895,0.0765,0.0534,25094.41182
603799999,2014,CA,3623.579206,1134,2528.386391,12996,3965.869168,2195.290565,0.02,9818605,0.0765,0.0534,30406.94982
603999999,2014,CA,3623.579206,1134,2528.386391,6960,3965.869168,2195.290565,0.02,150865,0.0765,0.0534,23466.15342
604199999,2014,CA,3623.579206,1134,2528.386391,18612,3965.869168,2195.290565,0.02,252409,0.0765,0.0534,36864.78822
604399999,2014,CA,3623.579206,1134,2528.386391,6864,3965.869168,2195.290565,0.02,18251,0.0765,0.0534,23355.76302
604599999,2014,CA,3623.579206,1134,2528.386391,8424,3965.869168,2195.290565,0.02,87841,0.0765,0.0534,25149.60702
604799999,2014,CA,3623.579206,1134,2528.386391,7248,3965.869168,2195.290565,0.02,255793,0.0765,0.0534,23797.32462
604999999,2014,CA,3623.579206,1134,2528.386391,6444,3965.869168,2195.290565,0.02,9686,0.0765,0.0534,22872.80502
605199999,2014,CA,3623.579206,1134,2528.386391,12672,3965.869168,2195.290565,0.02,14202,0.0765,0.0534,30034.38222
605399999,2014,CA,3623.579206,1134,2528.386391,11760,3965.869168,2195.290565,0.02,415057,0.0765,0.0534,28985.67342
