FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
01043,6924,9869,6704,9859,5407,4284,6681,49728,0.57,9201,6416,7294,8922,6641,-2383,47299,0.49,-17431,-6492,19118,0.15,6654,-2309,47386,0.00,1.58,0.49,0.94,-2049,-18492,22500,0.11,7029,-2141,47929,0.44,35747,11282,-7294,47029,0.60
01037,6792,9869,6704,9859,5407,4284,6661,49576,0.63,8979,7185,7294,8687,6641,-2383,47479,0.57,-17431,-6492,19298,0.20,6654,-2309,47566,0.00,1.65,0.56,0.94,-2049,-18492,22680,0.16,7029,-2141,48109,0.53,35927,11282,-7294,47209,0.65
01055,7152,9869,6704,9859,5407,4284,6717,49992,0.56,9202,6488,7294,8839,6641,-2383,47517,0.50,-17431,-6492,19336,0.15,6654,-2309,47604,0.00,2.14,0.50,0.94,-2049,-18492,22718,0.11,7029,-2141,48147,0.47,35965,11282,-7294,47247,0.58
01017,7392,9869,6704,9859,5407,4284,6754,50269,0.62,9203,6656,7294,8519,6641,-2383,47606,0.63,-17431,-6492,19425,0.21,6654,-2309,47693,0.00,2.14,0.56,0.94,-2049,-18492,22807,0.28,7029,-2141,48236,0.52,36054,11282,-7294,47336,0.66
01071,6792,9869,6704,9859,5407,4284,6661,49576,0.59,9180,6944,7294,8866,6641,-2383,47619,0.59,-17431,-6492,19438,0.16,6654,-2309,47706,0.00,2.15,0.53,0.94,-2049,-18492,22820,0.24,7029,-2141,48249,0.50,36067,11282,-7294,47349,0.61
01079,7140,9869,6704,9859,5407,4284,6715,49978,0.54,8936,6824,7294,9447,6967,-2167,48726,0.45,-17818,-6492,19616,0.13,6979,-2034,48871,0.00,1.72,0.45,0.94,-1411,-18492,24023,0.21,7354,-1865,49415,0.45,36632,11712,-7294,48344,0.54
01011,6792,9869,6704,9859,5407,4284,6661,49576,0.60,8743,6992,7294,9859,6967,-2167,48764,0.48,-17818,-6492,19654,0.23,6979,-2034,48909,0.00,1.78,0.47,0.94,-1411,-18492,24061,0.26,7354,-1865,49453,0.48,36670,11712,-7294,48382,0.58
01093,6792,9869,6704,9859,5407,4284,6661,49576,0.63,8933,6824,7294,9859,6967,-2167,48786,0.53,-17818,-6492,19676,0.18,6979,-2034,48931,0.00,1.72,0.53,0.94,-1411,-18492,24083,0.25,7354,-1865,49475,0.54,36692,11712,-7294,48404,0.63
01013,6792,9869,6704,9859,5407,4284,6661,49576,0.64,8743,7017,7294,9859,6967,-2167,48788,0.55,-17818,-6492,19678,0.21,6979,-2034,48933,0.00,1.78,0.55,0.94,-1411,-18492,24085,0.32,7354,-1865,49477,0.56,36694,11712,-7294,48406,0.63
01059,6876,9869,6704,9859,5407,4284,6674,49673,0.61,9202,6536,7294,9859,6967,-2167,48851,0.50,-17818,-6492,19741,0.17,6979,-2034,48996,0.00,1.64,0.50,0.94,-1411,-18492,24148,0.25,7354,-1865,49540,0.51,36757,11712,-7294,48469,0.61
01067,6792,9869,6704,9859,5407,4284,6661,49576,0.52,9285,7065,7294,9342,6967,-2167,48862,0.42,-17818,-6492,19752,0.18,6979,-2034,49007,0.00,1.62,0.41,0.94,-1411,-18492,24159,0.26,7354,-1865,49551,0.42,36768,11712,-7294,48480,0.51
01041,6900,9869,6704,9859,5407,4284,6677,49700,0.56,8979,6848,7294,9859,6967,-2167,48964,0.49,-17818,-6492,19854,0.20,6979,-2034,49109,0.00,1.71,0.49,0.94,-1411,-18492,24261,0.27,7354,-1865,49653,0.49,36870,11712,-7294,48582,0.57
01091,6792,9869,6704,9859,5407,4284,6661,49576,0.61,8933,7233,7294,9859,6967,-2167,49194,0.50,-17818,-6492,20084,0.24,6979,-2034,49339,0.00,1.72,0.50,0.94,-1411,-18492,24491,0.29,7354,-1865,49883,0.59,37100,11712,-7294,48812,0.59
01021,6792,9869,6704,9859,5407,4284,6661,49576,0.54,9702,6704,7294,9623,6967,-2167,49199,0.42,-17818,-6492,20089,0.15,6979,-2034,49344,0.00,1.51,0.42,0.94,-1411,-18492,24496,0.17,7354,-1865,49888,0.52,37105,11712,-7294,48817,0.54
01019,6792,9869,6704,9859,5407,4284,6661,49576,0.59,9203,6992,7294,9859,6967,-2167,49225,0.52,-17818,-6492,20115,0.20,6979,-2034,49370,0.00,1.64,0.52,0.94,-1411,-18492,24522,0.20,7354,-1865,49914,0.57,37131,11712,-7294,48843,0.59
01039,6792,9869,6704,9859,5407,4284,6661,49576,0.58,8979,7233,7294,9859,6967,-2167,49241,0.49,-17818,-6492,20131,0.18,6979,-2034,49386,0.00,1.71,0.49,0.94,-1411,-18492,24538,0.21,7354,-1865,49930,0.57,37147,11712,-7294,48859,0.57
